family,level,altitude_m,horizontal_distance_m,range_std_m,aoa_std_deg,attitude_std_deg,position_covariance_scale,visual_available,vision_only_rank,pixel_u,pixel_v,peb_rf_m,peb_joint_m,zeb_rf_m,zeb_joint_m,gain_peb,gain_zeb
reference,nominal,105.0,140.0,1.0,1.0,0.2,1.0,1,2,320.0,194.28571428571428,4.143153700656646,1.7983629900423914,2.5708600671627897,1.0139864271883055,0.5659434527477536,0.6055847456888837
reference,nominal,105.0,160.0,1.0,1.0,0.2,1.0,1,2,320.0,173.58490566037736,4.579011682252294,1.9007010234382422,2.907087558912924,1.0685531239790818,0.5849102043558583,0.6324317371511657
reference,nominal,105.0,180.0,1.0,1.0,0.2,1.0,1,2,320.0,155.78947368421052,5.027509997172179,2.0058627270161606,3.2493498715120883,1.131365625620271,0.6010226278725657,0.6518178496137785
reference,nominal,105.0,200.0,1.0,1.0,0.2,1.0,1,2,320.0,140.327868852459,5.485549101380325,2.113565640566458,3.595574393164081,1.199901854944382,0.6147029948132954,0.6662836799523214
reference,nominal,120.0,20.0,1.0,1.0,0.2,1.0,1,2,320.0,468.57142857142856,2.472013714724381,1.301380654632587,1.0675644334672467,1.0105905395260903,0.47355443585081997,0.05336810796151758
reference,nominal,120.0,40.0,1.0,1.0,0.2,1.0,1,2,320.0,400.0,2.6212929797283357,1.3885068502569287,1.2028646584404594,0.9900473800187058,0.4702969637522815,0.176925373048765
reference,nominal,120.0,60.0,1.0,1.0,0.2,1.0,1,2,320.0,346.6666666666667,2.8527855425681343,1.4781720416301032,1.4072979853895324,0.971236252758538,0.48184957488973273,0.30985742689761253
reference,nominal,120.0,80.0,1.0,1.0,0.2,1.0,1,2,320.0,304.0,3.1484086781616445,1.5706340174999034,1.6612769902722495,0.9649895529854786,0.50113400830257,0.4191278404287436
reference,nominal,120.0,100.0,1.0,1.0,0.2,1.0,1,2,320.0,269.09090909090907,3.491912433622359,1.6662039070577956,1.9488933013913299,0.976438220558487,0.5228391493971836,0.49897810215602867
reference,nominal,120.0,120.0,1.0,1.0,0.2,1.0,1,2,320.0,240.0,3.870569863724771,1.76477151541994,2.258749760094232,1.0055538273069713,0.54405382732928,0.554818402165532
reference,nominal,120.0,140.0,1.0,1.0,0.2,1.0,1,2,320.0,215.3846153846154,4.2750500678222965,1.8661382132588569,2.583186190869131,1.0495056749334555,0.563481553747167,0.5937165974937556
reference,nominal,120.0,160.0,1.0,1.0,0.2,1.0,1,2,320.0,194.28571428571428,4.698689017303181,1.9700979174519113,2.9172134279824853,1.1047465529770102,0.5807132776404403,0.6213007446146848
reference,nominal,120.0,180.0,1.0,1.0,0.2,1.0,1,2,320.0,176.0,5.13674870582441,2.0764472220917796,3.257618898033537,1.168119321611423,0.5957662441736041,0.6414192825574047
reference,nominal,120.0,200.0,1.0,1.0,0.2,1.0,1,2,320.0,160.0,5.585837398168427,2.1849864333156956,3.6023312653724675,1.2371940952882563,0.608834579747677,0.6565573779455469
