family,level,altitude_m,horizontal_distance_m,range_std_m,aoa_std_deg,attitude_std_deg,position_covariance_scale,visual_available,vision_only_rank,pixel_u,pixel_v,peb_rf_m,peb_joint_m,zeb_rf_m,zeb_joint_m,gain_peb,gain_zeb
position_sensitivity,position_covariance_x4,60.0,120.0,1.0,1.0,0.2,4.0,1,2,320.0,133.33333333333331,3.433402610470001,1.627715573904121,2.2185469295747944,0.8833261567588296,0.5259176512126837,0.60184472774343
reference,nominal,60.0,140.0,1.0,1.0,0.2,1.0,1,2,320.0,112.0,3.837055576610177,1.6058836178963376,2.530710156996524,0.8610917844728401,0.5814802298706745,0.6597430242684157
rf_quality,paired_log_level_0,60.0,140.0,0.5,0.25,0.2,1.0,1,2,320.0,112.0,1.322959382994647,1.1633458278636202,0.8311254416751863,0.6954115755665148,0.12064887039065866,0.16328926934919907
rf_quality,paired_log_level_1,60.0,140.0,1.0,0.5,0.2,1.0,1,2,320.0,112.0,2.2236853021149177,1.5510130039649221,1.3880265947959192,0.8330763119383591,0.30250337019821366,0.3998124279017537
rf_quality,paired_log_level_2,60.0,140.0,2.0,1.0,0.2,1.0,1,2,320.0,112.0,4.2098688219462685,2.36196151412927,2.6210706095228877,1.098633834662819,0.4389465292086443,0.5808453878841505
rf_quality,paired_log_level_3,60.0,140.0,4.0,2.0,0.2,1.0,1,2,320.0,112.0,8.296738648324933,4.199765406451907,5.161742379185577,1.7562734007375476,0.4938052668080828,0.659751829572197
pose_quality,attitude_log_level_0,60.0,140.0,1.0,1.0,0.05,1.0,1,2,320.0,112.0,3.7673546670795925,1.4313727270697028,2.4860812728432955,0.7194339842844437,0.6200589396115218,0.7106152593870604
pose_quality,attitude_log_level_1,60.0,140.0,1.0,1.0,0.0889139705,1.0,1,2,320.0,112.0,3.7774815169367852,1.4578179951666141,2.492563900850592,0.7415254293581351,0.6140767364101414,0.7025049471730341
pose_quality,attitude_log_level_2,60.0,140.0,1.0,1.0,0.158113883,1.0,1,2,320.0,112.0,3.8093282575522527,1.5384565219786526,2.512953715708307,0.8074165838360222,0.5961344315947155,0.6786981874003828
pose_quality,attitude_log_level_3,60.0,140.0,1.0,1.0,0.2811706626,1.0,1,2,320.0,112.0,3.9083290555219974,1.7694357017055007,2.5763702031654376,0.9872530508030686,0.5472654230059002,0.6168046620046732
pose_quality,attitude_log_level_4,60.0,140.0,1.0,1.0,0.5,1.0,1,2,320.0,112.0,4.206089351927387,2.3552185318202468,2.7673632212934147,1.4125453483441563,0.4400455304780918,0.48956994966350725
position_sensitivity,position_covariance_x4,60.0,140.0,1.0,1.0,0.2,4.0,1,2,320.0,112.0,3.8836832386273805,1.7143109969395376,2.5543088886674163,0.9281589633713722,0.5585862976957332,0.6366301008114985
reference,nominal,60.0,160.0,1.0,1.0,0.2,1.0,1,2,320.0,94.54545454545453,4.304023803016588,1.7036024130592686,2.876355655275301,0.9209638678920672,0.6041837845168854,0.679815718823575
rf_quality,paired_log_level_0,60.0,160.0,0.5,0.25,0.2,1.0,1,2,320.0,94.54545454545453,1.457704001294923,1.2645847193925066,0.9328118927889709,0.7684143032272801,0.13248182191368246,0.1762387366976702
rf_quality,paired_log_level_1,60.0,160.0,1.0,0.5,0.2,1.0,1,2,320.0,94.54545454545453,2.450478513209136,1.6447593656337571,1.557166463718443,0.8910252973615335,0.32880073962379397,0.427790593926737
rf_quality,paired_log_level_2,60.0,160.0,2.0,1.0,0.2,1.0,1,2,320.0,94.54545454545453,4.639463427696502,2.4294569726137074,2.93994640586063,1.1036473438836096,0.476349579972886,0.6246029037524132
